"Podscribe Data 2026
",,JAN,,,,,FEB,,,,MAR,,,,APR,,,,MAY,,,,JUN,,,,,JUL,,,,AUG,,,,,SEP,,,,OCT,,,,NOV,,,,,DEC,,,,,2026,,,,,,,,,,,,2026,,,,2026
,,"Mon, Dec 29","Mon, Jan 5","Mon, Jan 12","Mon, Jan 19","Mon, Jan 26","Mon, Feb 2","Mon, Feb 9","Mon, Feb 16","Mon, Feb 23","Mon, Mar 2","Mon, Mar 9","Mon, Mar 16","Mon, Mar 23","Mon, Mar 30","Mon, Apr 6","Mon, Apr 13","Mon, Apr 20","Mon, Apr 27","Mon, May 4","Mon, May 11","Mon, May 18","Mon, May 25","Mon, Jun 1","Mon, Jun 8","Mon, Jun 15","Mon, Jun 22","Mon, Jun 29","Mon, Jul 6","Mon, Jul 13","Mon, Jul 20","Mon, Jul 27","Mon, Aug 3","Mon, Aug 10","Mon, Aug 17","Mon, Aug 24","Mon, Aug 31","Mon, Sep 7","Mon, Sep 14","Mon, Sep 21","Mon, Sep 28","Mon, Oct 5","Mon, Oct 12","Mon, Oct 19","Mon, Oct 26","Mon, Nov 2","Mon, Nov 9","Mon, Nov 16","Mon, Nov 23","Mon, Nov 30","Mon, Dec 7","Mon, Dec 14","Mon, Dec 21","Mon, Dec 28",Q1,,,Q2,,,Q3,,,Q4,,,Q1,Q2,Q3,Q4,TOTAL
BIOptimizers - TOTALS - Growth Rate | Period - over - Period - Growth Rate | Period - over - Period - Growth Rate | Period - over - Period,Growth Rate | Period - over - Period,,,,,,326%,264%,10%,-11%,-36%,14%,152%,-41%,-29%,-28%,-46%,278%,-6%,22%,-35%,-26%,-17%,-36%,-6%,32%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576%,-7%,-38%,29%,-54%,-100%,,,,,,,-34%,-100%,,
BIOptimizers,Last click Sales new customers (Podscribe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Last click Sales new customers (Podscribe),sales,$0,$0,$0,$0,$717,$522,"$1,957","$6,668","$5,486","$6,759","$9,475","$8,843","$9,834","$8,392","$12,583","$10,337","$15,176","$10,911","$9,445","$11,389","$9,262","$11,992","$5,814","$6,219","$6,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$717,"$14,634","$34,911","$46,488","$53,000","$18,619",,,,,,,"$50,262","$118,107",,,"$168,369"
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,,,,,-27%,275%,241%,-18%,23%,40%,-7%,11%,-15%,50%,-18%,47%,-28%,-13%,21%,-19%,29%,-52%,7%,6%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941%,139%,33%,14%,-65%,-100%,,,,,,,135%,-100%,,
BIOptimizers,Pixel performance ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance ALL,Sales,$0,$0,$0,$0,$717,$522,"$2,173","$7,079","$6,863","$7,338","$11,721","$10,379","$11,037","$9,414","$13,688","$12,828","$26,684","$16,664","$12,556","$14,989","$10,428","$19,742","$10,886","$9,988","$10,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$717,"$16,638","$40,475","$62,614","$74,380","$31,520",,,,,,,"$57,830","$168,515",,,"$226,345"
BIOptimizers - Pixel performance ALL,Growth Rate | Period - over - Period,,,,,,-27%,316%,226%,-3%,7%,60%,-11%,6%,-15%,45%,-6%,108%,-38%,-25%,19%,-30%,89%,-45%,-8%,7%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2220%,143%,55%,19%,-58%,-100%,,,,,,,191%,-100%,,
BIOptimizers - Pixel performance ALL,Spend,$0,$0,$0,$38,"$18,475",$0,"$12,859","$20,104","$19,294","$23,680","$16,910","$19,853","$12,093","$27,374","$12,507","$23,355","$9,120","$19,829","$16,687","$10,553","$10,005","$16,430","$19,507","$35,460","$28,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,513","$52,257","$72,536","$72,356","$73,504","$83,020",,,,,,,"$143,306","$228,881",,,"$372,187"
BIOptimizers - Pixel performance ALL,Growth Rate | Period - over - Period,,0%,0%,3749900%,49167%,-100%,,56%,-4%,23%,-29%,17%,-39%,126%,-54%,87%,-61%,117%,-16%,-37%,-5%,64%,19%,82%,-21%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182%,39%,0%,2%,13%,-100%,,,,,,,60%,-100%,,
BIOptimizers - Pixel performance ALL,ROAS,0.00,0.00,0.00,0.00,0.04,,0.17,0.35,0.36,0.31,0.69,0.52,0.91,0.34,1.09,0.55,2.93,0.84,0.75,1.42,1.04,1.20,0.56,0.28,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.32,0.56,0.87,1.01,0.38,,,,,,,0.40,0.74,,,0.61
BIOptimizers - Pixel performance ALL,Growth Rate | Period - over - Period,,,,,,-100%,,108%,1%,-13%,124%,-25%,75%,-62%,218%,-50%,433%,-71%,-10%,89%,-27%,15%,-54%,-50%,35%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722%,75%,55%,17%,-62%,-100%,,,,,,,82%,-100%,,
BIOptimizers - Pixel performance ALL,Weekly Multiplier vs Last Click,,,,,1.00x,1.00x,1.11x,1.06x,1.25x,1.09x,1.24x,1.17x,1.12x,1.12x,1.09x,1.24x,1.76x,1.53x,1.33x,1.32x,1.13x,1.65x,1.87x,1.61x,1.62x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00x,1.14x,1.16x,1.35x,1.40x,1.69x,,,,,,,1.15x,1.43x,,,1.34x
BIOptimizers - Pixel performance ALL,4-Week Avg Multiplier,,,,,1.00x,1.00x,1.04x,1.04x,1.11x,1.13x,1.16x,1.19x,1.15x,1.16x,1.13x,1.14x,1.30x,1.40x,1.46x,1.48x,1.32x,1.35x,1.49x,1.56x,1.69x,1.70x,1.61x,1.62x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance ALL,Stability,,,,,1.00x,1.00x,1.01x,1.02x,1.05x,1.08x,1.11x,1.14x,1.16x,1.17x,1.16x,1.15x,1.18x,1.24x,1.33x,1.41x,1.42x,1.41x,1.41x,1.43x,1.52x,1.61x,1.64x,1.65x,1.64x,1.61x,1.62x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance ALL,Range Flag,,,,,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance ALL,Confidence Level,,,,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers,Pixel performance (only Google),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Last click Sales new customers (Podscribe),Sales,$0,$0,$0,$0,$399,$522,"$1,853","$5,225","$5,542","$5,700","$9,250","$8,419","$8,212","$6,925","$11,723","$10,247","$23,623","$11,329","$9,547","$10,486","$7,833","$13,097","$7,267","$7,706","$7,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$399,"$13,143","$31,582","$52,519","$52,293","$22,689",,,,,,,"$45,124","$127,501",,,"$172,624"
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,,,,,31%,255%,182%,6%,3%,62%,-9%,-2%,-16%,69%,-13%,131%,-52%,-16%,10%,-25%,67%,-45%,6%,0%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3191%,140%,66%,0%,-57%,-100%,,,,,,,183%,-100%,,
BIOptimizers - Last click Sales new customers (Podscribe),Spend,$0,$0,$0,$143,"$10,447","$1,191","$7,155","$20,774","$12,130","$26,846","$21,344","$15,197","$17,806","$16,408","$12,006","$6,067","$9,120","$19,829","$16,687","$10,237","$10,005","$16,430","$19,507","$35,460","$28,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,590","$41,250","$81,193","$43,602","$73,188","$83,020",,,,,,,"$133,033","$199,810",,,"$332,843"
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,0%,0%,14262900%,7225%,-89%,501%,190%,-42%,121%,-20%,-29%,17%,-8%,-27%,-49%,50%,117%,-16%,-39%,-2%,64%,19%,82%,-21%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290%,97%,-46%,68%,13%,-100%,,,,,,,50%,-100%,,
BIOptimizers - Last click Sales new customers (Podscribe),ROAS,0.00,0.00,0.00,0.00,0.04,0.44,0.26,0.25,0.46,0.21,0.43,0.55,0.46,0.42,0.98,1.69,2.59,0.57,0.57,1.02,0.78,0.80,0.37,0.22,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.32,0.39,1.20,0.71,0.27,,,,,,,0.34,0.64,,,0.52
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,,,,,1047%,-41%,-3%,82%,-54%,104%,28%,-17%,-8%,131%,73%,53%,-78%,0%,79%,-24%,2%,-53%,-42%,27%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745%,22%,210%,-41%,-62%,-100%,,,,,,,88%,-100%,,
BIOptimizers - Pixel performance (only Google),Weekly Multiplier vs Last Click,,,,,0.56x,1.00x,0.95x,0.78x,1.01x,0.84x,0.98x,0.95x,0.84x,0.83x,0.93x,0.99x,1.56x,1.04x,1.01x,0.92x,0.85x,1.09x,1.25x,1.24x,1.17x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56x,0.90x,0.90x,1.13x,0.99x,1.22x,,,,,,,0.90x,1.08x,,,1.03x
BIOptimizers - Pixel performance (only Google),4-Week Avg Multiplier,,,,,0.56x,0.78x,0.83x,0.82x,0.94x,0.90x,0.90x,0.95x,0.90x,0.90x,0.89x,0.90x,1.08x,1.13x,1.15x,1.13x,0.95x,0.97x,1.03x,1.11x,1.19x,1.22x,1.21x,1.17x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance (only Google),Stability,,,,,0.56x,0.67x,0.72x,0.75x,0.84x,0.87x,0.89x,0.92x,0.91x,0.91x,0.91x,0.90x,0.94x,1.00x,1.06x,1.12x,1.09x,1.05x,1.02x,1.01x,1.07x,1.14x,1.18x,1.20x,1.20x,1.19x,1.17x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance (only Google),Range Flag,,,,,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,Below Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Pixel performance (only Google),Confidence Level,,,,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers,IP Modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Last click Sales new customers (Podscribe),Sales,$0,$0,$0,$0,"$1,606",$599,"$12,523","$26,885","$29,814","$26,374","$37,565","$43,714","$32,542","$23,629","$30,815","$31,965","$57,525","$35,648","$27,778","$35,239","$30,692","$38,456","$22,065","$21,330","$23,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,606","$69,821","$140,195","$143,934","$167,814","$67,357",,,,,,,"$211,622","$379,105",,,"$590,727"
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,,,,,-63%,1991%,115%,11%,-12%,42%,16%,-26%,-27%,30%,4%,80%,-38%,-22%,27%,-13%,25%,-43%,-3%,12%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248%,101%,3%,17%,-60%,-100%,,,,,,,79%,-100%,,
BIOptimizers - Last click Sales new customers (Podscribe),Spend,$0,$0,$0,$143,"$10,447","$1,191","$7,155","$20,774","$12,130","$26,846","$21,344","$15,197","$17,806","$16,408","$12,006","$6,067","$9,120","$20,050","$16,687","$10,237","$10,005","$16,430","$19,507","$35,460","$28,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,590","$41,250","$81,193","$43,602","$73,409","$83,020",,,,,,,"$133,033","$200,031",,,"$333,064"
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,0%,0%,14262900%,7225%,-89%,501%,190%,-42%,121%,-20%,-29%,17%,-8%,-27%,-49%,50%,120%,-17%,-39%,-2%,64%,19%,82%,-21%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290%,97%,-46%,68%,13%,-100%,,,,,,,50%,-100%,,
BIOptimizers - Last click Sales new customers (Podscribe),ROAS,0.00,0.00,0.00,0.00,0.15,0.50,1.75,1.29,2.46,0.98,1.76,2.88,1.83,1.44,2.57,5.27,6.31,1.78,1.66,3.44,3.07,2.34,1.13,0.60,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.69,1.73,3.30,2.29,0.81,,,,,,,1.59,1.90,,,1.77
BIOptimizers - Last click Sales new customers (Podscribe),Growth Rate | Period - over - Period,,,,,,227%,248%,-26%,90%,-60%,79%,63%,-36%,-21%,78%,105%,20%,-72%,-6%,107%,-11%,-24%,-52%,-47%,42%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016%,2%,91%,-31%,-65%,-100%,,,,,,,19%,-100%,,
BIOptimizers - IP Modelling,Weekly Multiplier vs Last Click,,,,,2.24x,1.15x,6.40x,4.03x,5.43x,3.90x,3.96x,4.94x,3.31x,2.82x,2.45x,3.09x,3.79x,3.27x,2.94x,3.09x,3.31x,3.21x,3.80x,3.43x,3.64x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24x,4.77x,4.02x,3.10x,3.17x,3.62x,,,,,,,4.21x,3.21x,,,3.51x
BIOptimizers - IP Modelling,4-Week Avg Multiplier,,,,,2.24x,1.69x,3.26x,3.45x,4.25x,4.94x,4.33x,4.56x,4.03x,3.76x,3.38x,2.92x,3.04x,3.15x,3.27x,3.27x,3.15x,3.14x,3.35x,3.44x,3.52x,3.62x,3.53x,3.64x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - IP Modelling,Stability,,,,,2.24x,1.97x,2.40x,2.66x,3.17x,3.98x,4.25x,4.52x,4.47x,4.17x,3.93x,3.52x,3.27x,3.12x,3.09x,3.18x,3.21x,3.21x,3.23x,3.27x,3.36x,3.48x,3.53x,3.58x,3.60x,3.59x,3.64x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - IP Modelling,Range Flag,,,,,Below Range,Below Range,In Range,In Range,Above Range,Above Range,Above Range,Above Range,Above Range,In Range,In Range,Below Range,In Range,In Range,In Range,In Range,In Range,In Range,In Range,In Range,In Range,In Range,In Range,In Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - IP Modelling,Confidence Level,,,,,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers,Impressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - Impressions,Total Impressions,"11,913","9,055","33,623","21,873","1,009,389","88,379","507,689","987,128","1,233,227","1,706,171","2,134,224","986,104","1,247,948","1,271,071","2,302,614","4,430,438","2,110,037","1,392,898","889,972","1,730,217","2,033,062","3,083,970","2,759,873","2,828,300","2,400,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085,853","2,816,423","6,074,447","10,114,160","9,130,119","7,988,357",,,,,,,"9,976,723","27,232,636",,,"37,209,359"
BIOptimizers - Impressions,Growth Rate | Period - over - Period,,-24%,271%,-35%,4515%,-91%,474%,94%,25%,38%,25%,-54%,27%,2%,81%,92%,-52%,-34%,-36%,94%,18%,52%,-11%,2%,-15%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159%,116%,67%,-10%,-13%,-100%,,,,,,,173%,-100%,,
BIOptimizers - Impressions,"YT, Rumble, Spotify Impressions",0,0,0,0,"810,007","43,339","228,406","444,130","564,473","803,802","1,067,112","224,122","288,601","309,489","381,096","1,121,521","1,099,229","539,484","447,454","953,099","919,694","965,572","608,645","927,121","507,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"810,007","1,280,348","2,383,637","2,911,335","3,825,303","2,042,931",,,,,,,"4,473,992","8,779,569",,,"13,253,561"
BIOptimizers - Impressions,Growth Rate | Period - over - Period,,,,,,-95%,427%,94%,27%,42%,33%,-79%,29%,7%,23%,194%,-2%,-51%,-17%,113%,-4%,5%,-37%,52%,-45%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,86%,22%,31%,-47%,-100%,,,,,,,96%,-100%,,
BIOptimizers - Impressions,Podcast & Streaming Impressions,"11,913","9,055","33,623","21,873","199,382","45,040","279,283","542,998","668,754","902,369","1,067,112","761,982","959,347","961,582","1,921,518","3,308,917","1,010,808","853,414","442,518","777,118","1,113,368","2,118,398","2,151,228","1,901,179","1,893,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275,846","1,536,075","3,690,810","7,202,825","5,304,816","5,945,426",,,,,,,"5,502,731","18,453,067",,,"23,955,798"
BIOptimizers - Impressions,Growth Rate | Period - over - Period,,-24%,271%,-35%,812%,-77%,520%,94%,23%,35%,18%,-29%,26%,0%,100%,72%,-69%,-16%,-48%,76%,43%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457%,140%,95%,-26%,12%,-100%,,,,,,,235%,-100%,,
BIOptimizers - Impressions,Reach,"23,243","32,953","21,100","192,002","43,339","43,339","228,406","244,130","200,000","693,970","826,601","553,520","714,697","716,369","1,375,302","2,972,371","818,287","664,771","355,189","607,621","708,429","1,744,563","1,788,678","1,232,940","1,097,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"312,637","715,875","2,788,788","5,882,329","4,080,573","4,118,771",,,,,,,"3,817,300","14,081,673",,,"17,898,973"
BIOptimizers - Impressions,Growth Rate | Period - over - Period,,42%,-36%,810%,-77%,0%,427%,7%,-18%,247%,19%,-33%,29%,0%,92%,116%,-72%,-19%,-47%,71%,17%,146%,3%,-31%,-11%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129%,290%,111%,-31%,1%,-100%,,,,,,,269%,-100%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Multiplier Logic Note

The multiplier rows compare each attribution model against Last Click Sales, which is used as the baseline. The purpose is to understand how much higher or lower each model reports sales compared to Last Click.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Weekly Multiplier vs Last Click

This is calculated as:

Channel Sales ÷ Last Click Sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4-Week Avg Multiplier

This takes the average of the last 4 weekly multipliers. It helps reduce weekly noise and gives a more reliable trend than looking at one week alone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stability

This uses the standard deviation of the last 4 weekly multipliers. A lower stability number means the multiplier is more consistent and predictable. A higher number means the multiplier is more volatile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Range Flag

The range flag checks the 4-Week Avg Multiplier, not the weekly multiplier. This tells us whether the rolling multiplier is below, within, or above the expected range.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
